latitude,longitude,altitude,geometry,position,username,commits,stars,languages,city,avatar
42.8179879,-1.6441835,,Point,1,quickapps,26305,139,PHP,"Pamplona, Navarra - Spain",https://avatars3.githubusercontent.com/u/1129842?v=3&s=64
41.387917,2.1699187,,Point,2,mmoreram,6995,509,PHP,"Barcelona, Spain",https://avatars0.githubusercontent.com/u/521409?v=3&s=64
37.0025184,-3.9883887,,Point,3,JJ,4697,378,Perl,"Granada, Spain, Europe",https://avatars1.githubusercontent.com/u/500?v=3&s=64
41.4433668,-0.8846827,,Point,5,niwinz,4111,2082,Python,"Madrid, Spain, Sofia, Bulgaria",https://avatars3.githubusercontent.com/u/843689?v=3&s=64
41.387917,2.1699187,,Point,6,gavinking,3908,6,Ceylon,"Barcelona, Spain",https://avatars3.githubusercontent.com/u/579974?v=3&s=64
41.4433668,-0.8846827,,Point,7,javierarce,3906,177,JavaScript,Madrid,https://avatars1.githubusercontent.com/u/4933?v=3&s=64
41.2347823,1.8112222,,Point,8,rnowm,3791,29,JavaScript,"Sitges, Barcelona",https://avatars2.githubusercontent.com/u/1416057?v=3&s=64
41.387917,2.1699187,,Point,9,mvdan,3042,222,Go,Barcelona,https://avatars0.githubusercontent.com/u/3576549?v=3&s=64
41.387917,2.1699187,,Point,10,leplatrem,2966,109,Python,"Barcelona, Spain",https://avatars0.githubusercontent.com/u/546692?v=3&s=64
41.4433668,-0.8846827,,Point,12,juanignaciosl,2851,16,JavaScript,Madrid - Valladolid,https://avatars1.githubusercontent.com/u/932968?v=3&s=64
41.4433668,-0.8846827,,Point,14,rochoa,2582,4,JavaScript,"Madrid, Spain",https://avatars1.githubusercontent.com/u/45346?v=3&s=64
41.4433668,-0.8846827,,Point,15,viddo,2563,7,CoffeeScript,"Madrid, Spain",https://avatars2.githubusercontent.com/u/978461?v=3&s=64
41.4433668,-0.8846827,,Point,16,sergiogonzalez,2462,18,Java,Madrid,https://avatars2.githubusercontent.com/u/860987?v=3&s=64
41.4718638,2.0821392,,Point,17,carloslozano,2430,1,HTML,"Sant Cugat del Vallès, Catalonia",https://avatars2.githubusercontent.com/u/1463304?v=3&s=64
